reference Smarter;reference SunDevice;IDP;Model;Capacity;Color;Grade
26-ECO7390;;19540;iPhone 6 Plus;16;Silver;D
26-ECO7391;;19553;iPhone 6 Plus;64;Silver;D
26-ECO7392;;74768;iPhone 6 Plus;128;Silver;D
26-ECO7393;;19532;iPhone 6 Plus;16;Grey;D
26-ECO7394;;19545;iPhone 6 Plus;64;Grey;D
26-ECO7395;;74763;iPhone 6 Plus;128;Grey;D
26-GOL7369;;19534;iPhone 6 Plus;16;Gold;A
26-GOL7370;;19547;iPhone 6 Plus;64;Gold;A
26-GOL7371;;74755;iPhone 6 Plus;128;Gold;A
26-GOL7378;;19535;iPhone 6 Plus;16;Gold;B
26-GOL7379;;19548;iPhone 6 Plus;64;Gold;B
26-GOL7380;;74756;iPhone 6 Plus;128;Gold;B
26-GOL7387;;14601;iPhone 6 Plus;16;Gold;C
26-GOL7388;;16060;iPhone 6 Plus;64;Gold;C
26-GOL7389;;74757;iPhone 6 Plus;128;Gold;C
26-GOL7396;;26777;iPhone 6 Plus;16;Gold;D
26-GOL7397;;19549;iPhone 6 Plus;64;Gold;D
26-GOL7398;;74758;iPhone 6 Plus;128;Gold;D
26-MED7372;;14599;iPhone 6 Plus;16;Silver;B
26-MED7373;;19552;iPhone 6 Plus;64;Silver;B
26-MED7374;;74766;iPhone 6 Plus;128;Silver;B
26-MED7375;;19530;iPhone 6 Plus;16;Grey;B
26-MED7376;;19544;iPhone 6 Plus;64;Grey;B
26-MED7377;;74761;iPhone 6 Plus;128;Grey;B
26-PRE7363;;37358;iPhone 6 Plus;16;Silver;A
26-PRE7364;;19551;iPhone 6 Plus;64;Silver;A
26-PRE7365;;74765;iPhone 6 Plus;128;Silver;A
26-PRE7366;;37364;iPhone 6 Plus;16;Grey;A
26-PRE7367;;19543;iPhone 6 Plus;64;Grey;A
26-PRE7368;;74760;iPhone 6 Plus;128;Grey;A
27-BAS7431;;31107;iPhone 6s Plus;16;Silver;C
27-BAS7432;;72586;iPhone 6s Plus;32;Silver;C
27-BAS7433;;36317;iPhone 6s Plus;64;Silver;C
27-BAS7434;;43890;iPhone 6s Plus;128;Silver;C
27-BAS7435;;31177;iPhone 6s Plus;16;Grey;C
27-BAS7436;;72568;iPhone 6s Plus;32;Grey;C
27-BAS7437;;30742;iPhone 6s Plus;64;Grey;C
27-BAS7438;;43911;iPhone 6s Plus;128;Grey;C
27-BAS7443;;31179;iPhone 6s Plus;16;Pink;C
27-BAS7444;;72573;iPhone 6s Plus;32;Pink;C
27-BAS7445;;43893;iPhone 6s Plus;64;Pink;C
27-BAS7446;;43906;iPhone 6s Plus;128;Pink;C
27-ECO7447;;31185;iPhone 6s Plus;16;Silver;D
27-ECO7448;;72588;iPhone 6s Plus;32;Silver;D
27-ECO7449;;36318;iPhone 6s Plus;64;Silver;D
27-ECO7450;;43891;iPhone 6s Plus;128;Silver;D
27-ECO7451;;31199;iPhone 6s Plus;16;Grey;D
27-ECO7452;;72569;iPhone 6s Plus;32;Grey;D
27-ECO7453;;36314;iPhone 6s Plus;64;Grey;D
27-ECO7454;;43912;iPhone 6s Plus;128;Grey;D
27-ECO7459;;31192;iPhone 6s Plus;16;Pink;D
27-ECO7460;;72574;iPhone 6s Plus;32;Pink;D
27-ECO7461;;43894;iPhone 6s Plus;64;Pink;D
27-ECO7462;;43907;iPhone 6s Plus;128;Pink;D
27-GOL7407;;34269;iPhone 6s Plus;16;Gold;A
27-GOL7408;;72589;iPhone 6s Plus;32;Gold;A
27-GOL7409;;19574;iPhone 6s Plus;64;Gold;A
27-GOL7410;;48857;iPhone 6s Plus;128;Gold;A
27-GOL7423;;32493;iPhone 6s Plus;16;Gold;B
27-GOL7424;;72578;iPhone 6s Plus;32;Gold;B
27-GOL7425;;41224;iPhone 6s Plus;64;Gold;B
27-GOL7426;;43899;iPhone 6s Plus;128;Gold;B
27-GOL7439;;32491;iPhone 6s Plus;16;Gold;C
