IDP;Model;Capacity;Color;Grade;Last purchase price in USD;Floor Price 
74765;iPhone 6 Plus;128;Silver;Grade A;$205.88;191.04 
19534;iPhone 6 Plus;16;Gold;Grade A;$187.20;174.51 
19547;iPhone 6 Plus;64;Gold;Grade A;$196.80;183.01 
74755;iPhone 6 Plus;128;Gold;Grade A;$211.20;195.75 
31177;iPhone 6s Plus;16;Grey;Grade C;$194.12;180.64 
72568;iPhone 6s Plus;32;Grey;Grade C;$230.39;212.73 
30742;iPhone 6s Plus;64;Grey;Grade C;$249.02;229.22 
43911;iPhone 6s Plus;128;Grey;Grade C;$260.78;239.63 
31179;iPhone 6s Plus;16;Pink;Grade C;$194.12;180.64 
72573;iPhone 6s Plus;32;Pink;Grade C;$230.39;212.73 
43893;iPhone 6s Plus;64;Pink;Grade C;$249.02;229.22 
43906;iPhone 6s Plus;128;Pink;Grade C;$260.78;239.63 
31107;iPhone 6s Plus;16;Silver;Grade C;$194.12;180.64 
72586;iPhone 6s Plus;32;Silver;Grade C;$230.39;212.73 
36317;iPhone 6s Plus;64;Silver;Grade C;$249.02;229.22 
43890;iPhone 6s Plus;128;Silver;Grade C;$260.78;239.63 
32491;iPhone 6s Plus;16;Gold;Grade C;$194.12;180.64 
72581;iPhone 6s Plus;32;Gold;Grade C;$230.39;212.73 
18407;iPhone 6s Plus;64;Gold;Grade C;$249.02;229.22 
43898;iPhone 6s Plus;128;Gold;Grade C;$260.78;239.63 
31199;iPhone 6s Plus;16;Grey;Grade D;$194.12;180.64 
72569;iPhone 6s Plus;32;Grey;Grade D;$230.39;212.73 
36314;iPhone 6s Plus;64;Grey;Grade D;$275.00;252.21 
43912;iPhone 6s Plus;128;Grey;Grade D;$260.78;239.63 
31192;iPhone 6s Plus;16;Pink;Grade D;$194.12;180.64 
72574;iPhone 6s Plus;32;Pink;Grade D;$230.39;212.73 
43894;iPhone 6s Plus;64;Pink;Grade D;$249.02;229.22 
43907;iPhone 6s Plus;128;Pink;Grade D;$260.78;239.63 
31185;iPhone 6s Plus;16;Silver;Grade D;$194.12;180.64 
72588;iPhone 6s Plus;32;Silver;Grade D;$230.39;212.73 
36318;iPhone 6s Plus;64;Silver;Grade D;$249.02;229.22 
43891;iPhone 6s Plus;128;Silver;Grade D;$260.78;239.63 
32495;iPhone 6s Plus;16;Gold;Grade D;$194.12;180.64 
72582;iPhone 6s Plus;32;Gold;Grade D;$230.39;212.73 
41226;iPhone 6s Plus;64;Gold;Grade D;$249.02;229.22 
43900;iPhone 6s Plus;128;Gold;Grade D;$260.78;239.63 
31197;iPhone 6s Plus;16;Grey;Grade B;$213.73;197.99 
72567;iPhone 6s Plus;32;Grey;Grade B;$250.00;230.09 
35450;iPhone 6s Plus;64;Grey;Grade B;$268.63;246.58 
43910;iPhone 6s Plus;128;Grey;Grade B;$280.39;256.98 
31187;iPhone 6s Plus;16;Pink;Grade B;$213.73;197.99 
72572;iPhone 6s Plus;32;Pink;Grade B;$250.00;230.09 
43892;iPhone 6s Plus;64;Pink;Grade B;$268.63;246.58 
43905;iPhone 6s Plus;128;Pink;Grade B;$280.39;256.98 
31183;iPhone 6s Plus;16;Silver;Grade B;$213.73;197.99 
72584;iPhone 6s Plus;32;Silver;Grade B;$249.60;229.73 
36316;iPhone 6s Plus;64;Silver;Grade B;$268.63;246.58 
43889;iPhone 6s Plus;128;Silver;Grade B;$280.39;256.98 
32493;iPhone 6s Plus;16;Gold;Grade B;$213.73;197.99 
72578;iPhone 6s Plus;32;Gold;Grade B;$249.60;229.73 
41224;iPhone 6s Plus;64;Gold;Grade B;$268.63;246.58 
43899;iPhone 6s Plus;128;Gold;Grade B;$280.39;256.98 
31244;iPhone 6s Plus;16;Grey;Grade A;$242.88;223.79 
72585;iPhone 6s Plus;32;Grey;Grade A;$278.40;255.22 
34270;iPhone 6s Plus;64;Grey;Grade A;$296.64;271.36 
51810;iPhone 6s Plus;128;Grey;Grade A;$308.16;281.56 
31254;iPhone 6s Plus;16;Pink;Grade A;$242.88;223.79 
72587;iPhone 6s Plus;32;Pink;Grade A;$278.40;255.22 
51859;iPhone 6s Plus;64;Pink;Grade A;$298.04;272.60 
51861;iPhone 6s Plus;128;Pink;Grade A;$308.16;281.56 
31256;iPhone 6s Plus;16;Silver;Grade A;$243.14;224.02 
72590;iPhone 6s Plus;32;Silver;Grade A;$278.40;255.22 
36315;iPhone 6s Plus;64;Silver;Grade A;$297.92;272.50 
51809;iPhone 6s Plus;128;Silver;Grade A;$308.16;281.56 
34269;iPhone 6s Plus;16;Gold;Grade A;$242.88;223.79 
72589;iPhone 6s Plus;32;Gold;Grade A;;8.85 
19574;iPhone 6s Plus;64;Gold;Grade A;$298.04;272.60 
48857;iPhone 6s Plus;128;Gold;Grade A;$309.80;283.01 
72624;iPhone 7 Plus;32;Black;Grade C;$365.76;332.53 
72628;iPhone 7 Plus;128;Black;Grade C;$423.36;383.50 
